"","time","x","y","z"
"1",0,1,1,1
"2",0.2,0.920718480092655,0.992310232366974,0.999497427411151
"3",0.4,0.856065550000014,0.972794361246405,0.996509939607424
"4",0.6,0.80384236436249,0.945579730047868,0.989752992930721
"5",0.8,0.762290743186887,0.913650335716528,0.978807720431224
"6",1,0.729933254371095,0.879195222114444,0.963795909254628
"7",1.2,0.705494226126854,0.84382787945525,0.945151508955498
"8",1.4,0.687870134149435,0.808710211924437,0.923484701392517
"9",1.6,0.676101953741211,0.774664104755276,0.899470116884672
"10",1.8,0.669360362854085,0.742245353194675,0.873782710436446
"11",2,0.66693109700139,0.711804571807317,0.847056507405594
"12",2.2,0.668199302990761,0.683539232126907,0.819858560334026
"13",2.4,0.672635991562925,0.657533154179622,0.792678206871235
"14",2.6,0.679784286531947,0.633789961283813,0.765923016384604
"15",2.8,0.689247869284003,0.612257761915203,0.739922013696535
"16",3,0.700680410128281,0.592849057083002,0.714931408639334
"17",3.2,0.713776903992823,0.575454776469873,0.691143023779654
"18",3.4,0.728266284655188,0.559954962495539,0.668692997350929
"19",3.6,0.743905371959158,0.546226247723254,0.647670561246089
"20",3.8,0.760474134439089,0.534146680794195,0.628126511531034
"21",4,0.777771727895575,0.52359907862094,0.610080804258636
"22",4.2,0.795613528166875,0.514472865671573,0.59352906656325
"23",4.4,0.813828885479968,0.506664863810535,0.57844827219631
"24",4.6,0.832259198241943,0.500079699012584,0.564801695868351
"25",4.8,0.850756573959834,0.494629598398041,0.552542693623914
"26",5,0.869182855263795,0.490233887832844,0.541617836753413
"27",5.2,0.88740892945456,0.486818326283313,0.531969374573268
"28",5.4,0.905314255710393,0.484314367640255,0.523537109743936
"29",5.6,0.922786585495451,0.482658378821101,0.516259802187929
"30",5.8,0.939721832252514,0.481790864342455,0.510076177607895
"31",6,0.956024057918724,0.481655727609375,0.504925612697769
"32",6.2,0.971605553147742,0.482199580827762,0.500748567910334
"33",6.4,0.986386987675576,0.483371116594764,0.497486822625721
"34",6.6,1.00029760970116,0.485120549601673,0.495083559622799
"35",6.8,1.01327547558758,0.487399132228159,0.493483340105984
"36",7,1.02526769119935,0.490158747624469,0.492632002753114
"37",7.2,1.03623064656253,0.493351582948719,0.492476514641759
"38",7.4,1.04613022606693,0.49692988425559,0.492964797618334
"39",7.6,1.05494197665711,0.500845794141894,0.494045549470184
"40",7.8,1.06265121705013,0.50505127253703,0.495668075842146
"41",8,1.06925307208581,0.509498099937408,0.497782146004014
"42",8.2,1.07475241780555,0.5141379611666,0.500337882935148
"43",8.4,1.07916372493346,0.518922606206171,0.503285695793524
"44",8.6,1.08251072715584,0.523804078194662,0.506576258390419
"45",8.8,1.08482640125301,0.528735041795204,0.510160555526877
"46",9,1.08615187129772,0.533669114936016,0.51398995207727
"47",9.2,1.0865360207953,0.53856124568956,0.51801633055267
"48",9.4,1.08603486755059,0.543368124708598,0.522192307858574
"49",9.6,1.08471050266633,0.548048557153111,0.526471399420517
"50",9.8,1.08263052557438,0.552564058314716,0.53080832628139
"51",10,1.07986716480873,0.556879392094442,0.535159401617733
"52",10.2,1.07649550754012,0.560962698158676,0.539482726092608
"53",10.4,1.07259285224085,0.564785921401964,0.54373857338357
"54",10.6,1.06823763186753,0.568325106694155,0.547889726319272
"55",10.8,1.06350832418026,0.571560641178698,0.551901763565555
"56",11,1.05848236458879,0.574477390785603,0.555743378120266
"57",11.2,1.05323527179703,0.577064720449154,0.559386619994734
"58",11.4,1.04783976997026,0.579316481880891,0.562807091863951
"59",11.6,1.0423649909985,0.581230907796377,0.565984113125967
"60",11.8,1.03687582700629,0.58281040147995,0.568900829872287
"61",12,1.03143237349929,0.58406127593395,0.571544249354247
"62",12.2,1.02608951396284,0.58499343655031,0.573905218006201
"63",12.4,1.02089662239567,0.58562000130132,0.575978344544548
"64",12.6,1.01589735502677,0.585956885630066,0.577761863497122
"65",12.8,1.01112957403581,0.58602237120045,0.579257441728192
"66",13,1.00662536640149,0.585836658937353,0.580469944234463
"67",13.2,1.00241114978255,0.585421423965557,0.581407160962483
"68",13.4,0.998507853876053,0.584799383145716,0.582079502606134
"69",13.6,0.994931165633317,0.583993883167147,0.582499675831078
"70",13.8,0.991691825108804,0.583028517332659,0.582682345560904
"71",14,0.988795954866226,0.58192678161183,0.582643797461971
"72",14.2,0.986245447560559,0.580711738634082,0.582401572914271
"73",14.4,0.984038327471452,0.579405774224342,0.581974157602892
"74",14.6,0.982169139386603,0.578030365043587,0.581380667192591
"75",14.8,0.980629347640313,0.576605878286119,0.580640544518069
"76",15,0.979407720938612,0.575151427464266,0.579773283179572
"77",15.2,0.978490708573044,0.573684758253252,0.578798180791424
"78",15.4,0.977862802900506,0.572222167418949,0.577734119793014
"79",15.6,0.977506882920742,0.570778455121012,0.576599373747573
"80",15.8,0.977404539465738,0.569366901517387,0.575411444348953
"81",16,0.97753637919235,0.567999266873307,0.574186925903031
"82",16.2,0.977882306091183,0.566685812593072,0.57294139537303
"83",16.4,0.978421781559832,0.565435337378692,0.57168932855074
"84",16.6,0.979134062295074,0.564255227027242,0.57044403912294
"85",16.8,0.979998416352147,0.563151515190548,0.569217638487286
"86",17,0.980994318521881,0.56212895162147,0.568021015039285
"87",17.2,0.982101625481751,0.561191076649027,0.566863830057639
"88",17.4,0.983300730683795,0.560340299549444,0.565754528127406
"89",17.6,0.984572703609494,0.559577980773199,0.564700360687212
"90",17.8,0.985899406403551,0.558904512504867,0.563707419104881
"91",18,0.987263595475706,0.558319400702886,0.562780677173967
"92",18.2,0.988649012268212,0.557821349231404,0.561924041198905
"93",18.4,0.990040453187228,0.557408340039435,0.561140405716931
"94",18.6,0.991423826740573,0.557077712200848,0.560431713438106
"95",18.8,0.992786197234332,0.556826239018102,0.559799018424166
"96",19,0.994115815698939,0.55665020274275,0.559242551671638
"97",19.2,0.995402138681958,0.55654546672692,0.55876178809885
"98",19.4,0.996635835606623,0.556507544859351,0.558355514202055
"99",19.6,0.997808785404836,0.556531668119535,0.55802189577711
"100",19.8,0.998914063106681,0.556612848160206,0.557758545152673
"101",20,0.99994591708498,0.556745937825449,0.55756258747224
"102",20.2,1.00089973767215,0.556925688506407,0.557430725638727
"103",20.4,1.00177201787743,0.55714680424871,0.557359303580826
"104",20.6,1.00256030695229,0.557403992522886,0.557344367547149
"105",20.8,1.00326315757276,0.557692011565044,0.557381725173357
"106",21,1.00388006742395,0.558005714197603,0.557467002095481
"107",21.2,1.00441141605042,0.558340088008966,0.557595695860513
"108",21.4,1.00485839779846,0.558690291836645,0.557763226976229
"109",21.6,1.00522295271228,0.559051688041103,0.557964986241404
"110",21.8,1.00550768886962,0.559419873732826,0.558196383108632
"111",22,1.0057158124851,0.559790703384008,0.558452884074163
"112",22.2,1.00585105320728,0.560160310174821,0.558730051005525
"113",22.4,1.00591758758827,0.560525124234789,0.559023577174363
"114",22.6,1.00591996523669,0.560881885827032,0.559329318258959
"115",22.8,1.00586303496399,0.56122765523049,0.559643320468296
"116",23,1.0057518756432,0.561559818652839,0.559961844103676
"117",23.2,1.00559172862848,0.561876090725638,0.560281383882889
"118",23.4,1.00538793093168,0.562174514041864,0.560598686710731
"119",23.6,1.00514585473226,0.562453454925778,0.560910764800329
"120",23.8,1.00487085033887,0.562711596461247,0.561214905627674
"121",24,1.00456819346582,0.562947928825382,0.561508678570735
"122",24.2,1.00424303714413,0.563161737125694,0.561789938378296
"123",24.4,1.00390036847328,0.563352587062028,0.562056825591941
"124",24.6,1.0035449703255,0.563520308699164,0.562307764106801
"125",24.8,1.00318138806158,0.563664978636354,0.562541456082433
"126",25,1.00281390124453,0.563786900880076,0.562756874417535
"127",25.2,1.00244650028305,0.563886586717966,0.562953253022421
"128",25.4,1.00208287021512,0.56396473271528,0.563130073451426
"129",25.6,1.00172636317198,0.564022206001239,0.563287061143556
"130",25.8,1.0013800092798,0.564060011879072,0.563424155235544
"131",26,1.00104650508282,0.564079277615866,0.563541498716442
"132",26.2,1.00072820790092,0.564081232719729,0.563639423775316
"133",26.4,1.00042715069736,0.564067186253977,0.563718428509418
"134",26.6,1.00014502735667,0.564038511708734,0.56377916897519
"135",26.8,0.999883189823967,0.563996628500526,0.563822444607811
"136",27,0.999642698985165,0.5639429750807,0.563849160151568
"137",27.2,0.999424318401782,0.563878998324835,0.563860318662397
"138",27.4,0.99922852908525,0.563806137983493,0.563857003885052
"139",27.6,0.999055547565534,0.563725811937384,0.563840362290067
"140",27.8,0.998905344676479,0.563639403476536,0.563811586484531
"141",28,0.998777665024501,0.563548249888069,0.563771899489439
"142",28.2,0.998672047232483,0.563453632431494,0.563722539934283
"143",28.4,0.998587844667108,0.563356767703799,0.563664748239679
"144",28.6,0.998524246394807,0.563258800366886,0.56359975386932
"145",28.8,0.998480298134786,0.563160797197792,0.563528763700511
"146",29,0.998454922994875,0.563063742417862,0.563452951543828
"147",29.2,0.998446941780827,0.562968534243422,0.563373448838348
"148",29.4,0.998455092713755,0.562875982584693,0.563291336518331
"149",29.6,0.998478050125657,0.56278680783376,0.563207638136774
"150",29.8,0.998514443954599,0.562701640567251,0.563123313535934
"151",30,0.998562875643525,0.562621022409418,0.56303925466034
